DIVULGADOR;ID_RAW;ID_DIGITS;ID;NOME_FANTASIA;RAZAO_SOCIAL;CNPJ_CPF;ENDERECO;NUMERO;CEP;BAIRRO;CIDADE;UF;TELEFONE;EMAIL
Dayse Pontes;035.468;035468;35468;ELOHIM COLEGIO E CURSO;WILMA CARLA BEZERRA BARBOSA;01.040.832/0001-02;RUA DA AÇÃO;68;58083-000;INDÚSTRIAS;JOÃO PESSOA;PB;83 2179-9034 / 8817-4090 / 98817-4090;vilmacarlajp2@hotmail.com
Dayse Pontes;022.331;022331;22331;ESCOLA 1º GRAU SANTA RITA;GEANE ANDRADE FARIAS-ME;01.160.212/0001-07;RUA JOSÉ CAETANO DE ANDRADE;195;58117-000;CENTRO;LAGOA SECA;PB;83 99342-0867 / 9110-9983;esc.santar@gmail.com
Dayse Pontes;020.669;020669;20669;ESCOLA ARCO IRÍS DO SABER;ROZALVA FREIRE OLIVEIRA;35.496.033/0001-59;RUA ANTÔNIO BERNADINO DE SENA;222;58407-443;JOSÉ PINHEIRO;CAMPINA GRANDE;PB;83 3321-4125 / 8809-6594 / 99958-1693;escolaarcoirisdosaber@hotmail.com
Dayse Pontes;010.408;010408;10408;ESCOLA BETEL BRASILEIRO;KADYDJA NICOLLY FIGUEIREDO ROCHA;32.108.480/0001-03;RUA MAESTRO HEITOR VILLA LOBOS;S/N;58087-210;OITIZEIRO;JOÃO PESSOA;PB;83 2179-8079 / 8813-3412 / 98637-9789;escolabetell@hotmail.com
Dayse Pontes;010.263;010263;10263;ESCOLA BRASIL NOVO;MARIA BETANIA CORDEIRO LUZ - ME;10.564.632/0001-31;RUA RIACHUELO;921;58414-140;LIBERDADE;CAMPINA GRANDE;PB;83 3342-1212 / 98801-4294;betaeliasnet@hotmail.com
Dayse Pontes;028.823;028823;28823;ESCOLA COMECINHO DO SABER;ROSEMARY MARINHO DE MELO - ME;09.295.923/0001-92;RUA ROSA LIMA DOS SANTOS;S/N;58051-590;JARDIM CIDADE UNIVERSITÁRIA;JOÃO PESSOA;PB;83 3512-2029 / 8856-3495 / 98856-3495;comecinhodosaber@hotmail.com
Dayse Pontes;009.454;009454;9454;ESCOLA CORUJINHA;INTEGRACAO CENTRO DE ENSINO LTDA - ME;35.491.265/0001-14;RUA RODOPIANO FERREIRA DA NÓBREGA;435;58057-010;MANGABEIRA;JOÃO PESSOA;PB;83 3239-1616 / 8766-0222;escolacorujinhajp@gmail.com
Dayse Pontes;010.151;010151;10151;ESCOLA CRIATIVA DA MONICA;MARIA INÊS DE FREITAS ME;02.996.345/0001-72;RUA FELIX ARAUJO;68;58450-000;CENTRO;BOQUEIRÃO;PB;83 9103-6210 / 99160-2772;escolacriativadamonica@gmail.com
Dayse Pontes;036.305;036305;36305;ESCOLA DE 1º GRAU IRMÃ DULCE;MARIA DAS DORES ALVES SILVA;00.997.550/0001-27;RUA SENADOR RUY CARNEIRO;355;58350-000;CENTRO;CALDAS BRANDÃO;PB;83 99103-8636;thamires1612@hotmail.com
Dayse Pontes;011.525;011525;11525;ESCOLA DOM DIEGO;ESCOLA DOM DIEGO LTDA;42.269.533/0001-13;RUA PAULO LEITE;386;58703-130;LIBERDADE;PATOS;PB;83 3727-1818 / 98115-2141;secretaria@escoladomdiego.com.br
Dayse Pontes;013.468;013468;13468;ESCOLA ÉPOCA;ESCOLA EPOCA SERVICOS EDUCACIONAIS LTDA;02.961.124/0001-69;RUA PASTOR GUARACY NÓBREGA;14;58051-835;JARDIM CIDADE UNIVERSITÁRIA;JOÃO PESSOA;PB;83 98727-1028;coordenaaoepoca@gmail.com
Dayse Pontes;014.210;014210;14210;ESCOLA IDEAL;ESCOLA MARIA ODETE DE MELO LTDA;04.879.422/0001-30;RUA RAIMUNDA GUEDES;47;58394-000;CENTRO;BORBOREMA;PB;83 99681-1991;miriamtarginoideal@hotmail.com
Dayse Pontes;036.647;036647;36647;ESCOLA INFANTIL LAPIS MAGICO;ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL LAPIS MAGICO LTDA;36.262.044/0001-37;RUA JOÃO FERNANDES VIEIRA;10;58027-520;ALTO DO CÉU;JOÃO PESSOA;PB;83 98224-2946;escolainfantil02@gmail.com
Dayse Pontes;027.426;027426;27426;ESCOLA INFANTIL MENINO JESUS;MARIA DE FATIMA VIEIRA SOBRINHO;263.281.434-00;RUA FRANCISCO DUARTE;S/N;58250-000;CENTRO;LAGOA DE DENTRO;PB;83 99100-1838;fatimavieira@gmail.com
Dayse Pontes;011.529;011529;11529;ESCOLA INICIO DA VIDA - ESCOLA E BERCARIO;VIDA ESCOLA LTDA;02.740.601/0001-66;RUA COMERCIANTE ARISTIDES COSTA;108;58052-240;JARDIM CIDADE UNIVERSITÁRIA;JOÃO PESSOA;PB;83 3235-6253 / 3566-9153;adm@vidaescola.com
Dayse Pontes;010.046;010046;10046;ESCOLA JARDIM MARAVILHA;LAURENILDA MENDES DO NASCIMENTO;24.287.864/0001-02;RUA IARA AMARAL;35;58432-460;DINAMÉRICA;CAMPINA GRANDE;PB;83 98886-4812;lauramendes27@gmail.com
Dayse Pontes;021.883;021883;21883;ESCOLA LÁPIS NA MÃO;ESCOLA LAPIS NA MAO LTDA - ME;07.777.339/0001-48;RUA DOUTOR JOÃO URSULO;73;58337-000;CENTRO;CRUZ DO ESPÍRITO SANTO;PB;83 8150-5343 / 98150-5343;barbara-cabral@hotmail.com
Dayse Pontes;010.090;010090;10090;ESCOLA MAR E SOL;MARIA BEZERRA DA CRUZ ME;24.292.906/0001-95;RUA MARIA DE LOURDES DE VASCONCELOS CARDOSO;65;58036-870;AEROCLUBE;JOÃO PESSOA;PB;83 98130-7792;escolamaresol@gmail.com
Dayse Pontes;010.602;010602;10602;ESCOLA MATERNAL PINGO DE MEL;ROSEMARY RODRIGUES DE LIMA - ME;41.129.719/0001-04;RUA ANTENOR NAVARRO;349;58400-520;PRATA;CAMPINA GRANDE;PB;83 3065-5571 / 99185-7763;m.pingodemel@gmail.com
Dayse Pontes;027.938;027938;27938;ESCOLA MUNDO COLORIDO DA CRIANÇA;A M LEITE - ME;10.505.657/0001-64;RUA DOUTOR PAULO ROBERTO MAYER;645;58417-680;PRESIDENTE MÉDICI;CAMPINA GRANDE;PB;83 99101-2466;analeitecg@outlook.com
Dayse Pontes;010.319;010319;10319;ESCOLA PARAISO DA CRIANÇA;RHOSSANA CIBELLE DE CARVALHO DE OLIVEIRA;02.742.253/0001-66;RUA JOSE SARAIVA;28;58360-000;CENTRO;ITABAIANA;PB;83 99125-1780;rhossana_sana@hotmail.com
Dayse Pontes;021.573;021573;21573;ESCOLA PRIMEIROS DEGRAUS;RUBENIRA DO NASCIMENTO FONSECA- ME;01.105.421/0001-40;RUA JOAQUIM NABUCO;138;58111-040;IMACULADA;BAYEUX;PB;83 3232-5454 / 8600-7311 / 98600-7311;pdegraus@gmail.com
Dayse Pontes;026.635;026635;26635;ESCOLA PRIMEIROS PASSOS;ELISSANDRA BERNARDINO PEREIRA - ME;09.162.778/0001-71;RUA PEDRO JUSTINO DE OLIVEIRA;18;58170-000;CENTRO;BARRA DE SANTA ROSA;PB;83 9182-8586 / 99182-8586;escolaprimeirospassos2016@gmail.com
Dayse Pontes;022.437;022437;22437;ESCOLA SANTA MONICA;ROSIMERE PONTES GUEDES;00.336.813/0001-57;RUA AGLIBERTO CABRAL;48;58328-000;CENTRO;PEDRAS DE FOGO;PB;81 99192-5350 / 99192-5350;escola-santamonica@hotmail.com
Dayse Pontes;009.480;009480;9480;ESCOLA SAO FRANCISCO;MARIA JOSÉ DA CUNHA PRAXEDES;14.554.978/0001-00;RUA JOSE VIEIRA NASCIMENTO;56;58200-000;NORDESTE II;GUARABIRA;PB;83 3271-2105 / 98814-0764;mary-gba@hotmail.com
Dayse Pontes;028.941;028941;28941;ESCOLA SONHO DE CRIANÇA;MARIA DO SOCORRO ROQUE DO NASCIMENTO - ME;09.231.828/0001-25;RUA PEDRO GONÇALVES DE LIMA;85;58398-000;CENTRO;REMÍGIO;PB;83 9945-7849 / 99901-3655;socorronascimento.esc@hotmail.com
Dayse Pontes;010.071;010071;10071;ESCOLA WALT DISNEY;GERIZ E SANTOS LTDA - ME;05.671.643/0001-80;RUA PAULO GOMES DE ALMEIDA;306;58074-104;JOSÉ AMÉRICO DE ALMEIDA;JOÃO PESSOA;PB;83 3264-6960 / 8815-6974 / 98896-9101;riva_paula@hotmail.com
Dayse Pontes;009.382;009382;9382;ESCOLINHA INFANTIL BIBI;IVANEIDE PINTO DE MENEZES;12.616.751/0001-16;RUA MARCOS BARBOSA;456;58280-000;CENTRO;MAMANGUAPE;PB;83 99686-0980;cebm_professor@hotmail.com
Dayse Pontes;047.184;047184;47184;ESPACO CRESCA E APARECA;EDYLEIDE DA SILVA ALVES LTDA;22.641.742/0001-39;R JOSÉ C A DOS SANTOS;83;58064-500;VALENTINA DE FIGUEIREDO;JOÃO PESSOA;PB;83 98770-4857;***
Dayse Pontes;035.624;035624;35624;ESPACO KIDS DO SABER;ESPACO KIDS DO SABER LTDA;19.457.550/0001-62;RUA AURÉLIO FIGUEIREDO;136;58085-390;CRUZ DAS ARMAS;JOÃO PESSOA;PB;83 98634-1014;espacokidssaber@gmail.com
Dayse Pontes;022.435;022435;22435;EXTERNATO DA MÔNICA;NUCLEO EDUCACIONAL EXTERNATO DA MONICA LTDA;48.349.136/0001-38;RUA CEL. OLIVEIRA LUCENA;S/N;58213-000;CENTRO;PIRPIRITUBA;PB;83 98847-2194;externatocoor@gmail.com
Dayse Pontes;034.060;034060;34060;HAPPY BABY;GALVAO EDUCACAO INFANTIL LTDA;35.636.049/0001-10;RUA CAETANO FIGUEIREDO;1195;58071-220;CRISTO REDENTOR;JOÃO PESSOA;PB;83 3021-7084 / 8658-3356 / 99884-8516;happybaby2016.2@outlook.com
Dayse Pontes;010.337;010337;10337;IEG COLÉGIO E CURSO;SHEILA DORNELAS FERNANDES GUEDES;05.423.647/0001-40;RUA ETELVINA ALVES DE OLIVEIRA;75;58074-082;JOSÉ AMÉRICO DE ALMEIDA;JOÃO PESSOA;PB;83 99601-0331;ieg_colegio@hotmail.com
Dayse Pontes;047.022;047022;47022;IEIF - ESCOLA DE EDUCAÇÃO INFANTIL E FUNDAMENTAL;ANTHONY DE MENDONÇA GOMES;53.927.635/0001-03;RUA ANTÔNIO ALVES DE MORAIS;133;58084-066;JARDIM VENEZA;JOÃO PESSOA;PB;***;anthoni.mg.p21@gmail.com
Dayse Pontes;033.216;033216;33216;INSEPE INST EDUCACIONAL PADRE JOAO INF FUND I;MARIA ELAINE GONÇALVES SANTOS;12.033.273/0001-11;RUA JOAO GEEROMS;08;58385-000;CENTRO;SERRA REDONDA;PB;83 98897-2237;mariaela2011ga@gmail.com
Dayse Pontes;022.330;022330;22330;INST EDUC INF E ENS FUND PINGOS DE LETRAS;SIMONE DE LIMA SILVA BARBOSA - ME;07.070.586/0001-00;RUA ROGACIANO NUNES;22;58120-000;CENTRO;MASSARANDUBA;PB;83 8154-5960 / 98154-5960;epingosdeletras@gmail.com
Dayse Pontes;009.593;009593;9593;INSTITUTO CRIANÇA ESPERANÇA 2;SONIA MARIA ARAUJO AZEVEDO FLORENCIO - ME;01.475.518/0001-44;RUA JOSÉ ZACARIAS DA COSTA;707;58433-272;MALVINAS;CAMPINA GRANDE;PB;83 8731-3560 / 98731-3560;ice.escola@gmail.com
Dayse Pontes;028.821;028821;28821;INSTITUTO CRIANÇA ESPERANÇA I;EDENIA MARIA FLORENCIO ARAUJO SANTIAGO;49.998.202/0001-63;RUA JOSÉ ZACARIAS DA COSTA;747;58433-272;MALVINAS;CAMPINA GRANDE;PB;83 8800-6926 / 98806-9268;anajuliaedenia@hotmail.com
Dayse Pontes;018.413;018413;18413;INSTITUTO DE EDUCAÇÃO INFANTIL E FUNDAMENTAL;PATRICIA VASCONCELOS DE MENDONCA-ME;05.474.736/0001-15;RUA ANTÔNIO ALVES DE MORAIS;133;58084-066;JARDIM VENEZA;JOÃO PESSOA;PB;83 2182-9586 / 98880-6997;eeif2010@hotmail.com
Dayse Pontes;009.581;009581;9581;INSTITUTO EDUC.  PROF.  MARIA DOS ANJOS;INSTITUTO EDUCACIONAL PROF. MARIA DOS ANJOS LTDA - ME;08.604.944/0001-80;RUA DEPUTADO PETRÔNIO FIGUEIREDO;906;58075-410;ERNESTO GEISEL;JOÃO PESSOA;PB;***;eepma33@hotmail.com
Dayse Pontes;027.548;027548;27548;INSTITUTO EDUCACIONAL ÁGAPE;INSTITUTO EDUCACIONAL AGAPE SERVICO DE ENSINO LTDA;19.296.702/0001-92;RUA INSPETORA EMÍLIA MENDONÇA GOMES;1383;58064-360;VALENTINA DE FIGUEIREDO;JOÃO PESSOA;PB;83 99778-0258;institutoagape21@gmail.com
Dayse Pontes;035.826;035826;35826;INSTITUTO EDUCACIONAL AGAPE - UNIDADE II;INSTITUTO EDUCACIONAL AGAPE SERVICO DE ENSINO LTDA;19.296.702/0002-73;RUA JOSÉ RICARDO M. MORAIS;276;58052-325;JARDIM CIDADE UNIVERSITÁRIA;João Pessoa;PB;83 98778-0258;agapeunidade2@outlook.com
Dayse Pontes;020.668;020668;20668;INSTITUTO EDUCACIONAL ANÉZIO ARAÚJO;MARINALVA MARIA DE ARAUJO SILVA;02.491.870/0001-36;RUA PROFESSORA ROSA SETTI;104;58055-330;MANGABEIRA;JOÃO PESSOA;PB;83 3238-3179 / 8834-0044 / 98834-0044;secretaria.camais@gmail.com
Dayse Pontes;022.220;022220;22220;INSTITUTO EDUCACIONAL ARCO IRIS;AUTANIA MARIA SILVA DE OLIVEIRA-ME;07.392.340/0001-54;AVENIDA TANCREDO NEVES;634;58326-000;CENTRO;CAAPORÃ;PB;83 3286-1181 / 99189-4831;institutoarcoiriscaaporapb@hotmail.com
Dayse Pontes;028.992;028992;28992;INSTITUTO EDUCACIONAL COMPACTO;COOP. DE TRABALHO DOS PROF. DE ENSINO REGULAR DO VALE DO PIANCO;***;RUA PEDRO LEITE MONTENEGRO;08;58765-000;CENTRO;PIANCÓ;PB;83 99151-7980;inst.compacto@gmail.com
Dayse Pontes;014.173;014173;14173;INSTITUTO EDUCACIONAL DOMINIQUE;ALICE CRISTIANE LEAL MACHADO - ME;40.983.884/0001-66;RUA BENÍCIO DE OLIVEIRA LIMA;339;58073-030;JOSÉ AMÉRICO DE ALMEIDA;JOÃO PESSOA;PB;83 3185-9192;yuryleal06@gmail.com
Dayse Pontes;010.334;010334;10334;INSTITUTO EDUCACIONAL FÊNIX;ADRIANA VALERIA AZEVEDO SILVA;40.958.191/0001-13;RUA VICENTE COZZA;480;58075-420;ERNESTO GEISEL;JOÃO PESSOA;PB;83 3231-3770 / 8739-7415 / 98739-7415;educfenix@gmail.com
Dayse Pontes;021.881;021881;21881;INSTITUTO EDUCACIONAL FONTE DO JARDIM;ELIVANIA FIRMINO DE LIMA -ME;09.314.711/0001-05;RUA ROSEMIRO FERREIRA;351;58320-000;CENTRO;ALHANDRA;PB;83 9152-8794 / 99103-3504;fontedojardim@hotmail.com
Dayse Pontes;018.183;018183;18183;INSTITUTO EDUCACIONAL HELIO MARTINHO;JOSEANE BARBOSA MARTINHO DA SILVA;19.401.864/0001-43;RUA GENIVAL DUARTE DE MEDEIROS;01;58065-183;PLANALTO BOA ESPERANÇA;JOÃO PESSOA;PB;83 98850-2262;institutoeducacionalheliomartinho@gmail.com
Dayse Pontes;020.672;020672;20672;INSTITUTO EDUCACIONAL JESUS DE NAZARÉ;INSTITUTO EDUCACIONAL JESUS DE NAZARÉ LTDA;01.732.649/0001-60;RUA NILA ROCHA;88;58100-170;CENTRO;CABEDELO;PB;83 8885-7456 / 99630-3529;***
Dayse Pontes;009.415;009415;9415;INSTITUTO EDUCACIONAL JOAO SOARES;LAUDICEIA SOARES DA SILVA EIRELI;34.672.081/0001-98;RUA FILOMENA MARIA DE PONTES;116;58056-230;MANGABEIRA;JOÃO PESSOA;PB;83 92178-7331 / 3238-8430;escolajoaosoaresprofessoras@outlook.com
Dayse Pontes;013.762;013762;13762;INSTITUTO EDUCACIONAL JOSINO GOMES;MARINEIDE GOMES PROCOPIO;03.480.858/0001-99;RUA JOÃO DE OLIVEIRA LINS;30;58063-100;VALENTINA DE FIGUEIREDO;João Pessoa;PB;83 3566-0836;faarias12@hotmail.com
Dayse Pontes;021.746;021746;21746;INSTITUTO EDUCACIONAL PEQUENO PRINCIPE;INSTITUTO EDUCACIONAL PEQUENO PRINCIPE LTDA ME;35.582.089/0001-26;RUA ENIVALDO FIGUEIREDO DE MIRANDA;63;58100-550;PONTA DE MATOS;CABEDELO;PB;83 98659-4200 / 99875-1370;izabell.araujo@outlook.com
Dayse Pontes;032.942;032942;32942;INSTITUTO EDUCACIONAL PROFESSORA BERNADETE MARINHO;INSTITUTO EDUCACIONAL PROFESSORA BERNADETE MARINHO LTDA;22.533.845/0001-85;LOTEAMENTO VILLAGE;S/N;58322-000;JACUMÃ;CONDE;PB;83 99113-1913;iepbmoficial@gmail.com
Dayse Pontes;020.678;020678;20678;INSTITUTO EDUCACIONAL PROFESSORA LAURA ARAUJO;RITA DE CASSIA SABINO DE ARAUJO ME;00.431.876/0001-92;PRAÇA FREI MARTINHO;90;58780-000;CENTRO;ITAPORANGA;PB;83 9664-0246 / 9664-0222;***
Dayse Pontes;029.507;029507;29507;INSTITUTO EDUCACIONAL ROSA DE SARON;INSTITUTO EDUCACIONAL ROSA DE SARON KIDS LTDA;32.594.851/0001-04;RUA UMBUZEIRO;95;58302-095;MUNICÍPIOS;SANTA RITA;PB;83 98715-0015 / 98715-0015;iersfinanceiro@gmail.com
Dayse Pontes;028.282;028282;28282;INSTITUTO EDUCACIONAL SAGRADA FAMÍLIA;INSTITUTO EDUCACIONAL SAGRADA FAMÍLIA LTDA;22.110.511/0001-07;RUA ARTUR ENEDINO DOS ANJOS;327;58046-180;ALTIPLANO CABO BRANCO;JOÃO PESSOA;PB;83 98803-6467;edilenefelix35@hotmail.com
Dayse Pontes;010.093;010093;10093;INSTITUTO EDUCACIONAL SHALON;MARILENE RIBEIRO ALEXANDRE;03.334.484/0001-01;RUA UNIVERSITÁRIA RUTH MAGALHÃES;159;58075-040;ERNESTO GEISEL;JOÃO PESSOA;PB;83 98706-7730 / 8882-6454;escolashalon@gmail.com
Dayse Pontes;009.803;009803;9803;INSTITUTO EDUCACIONAL VERA CRUZ;INSTITUTO EDUCACIONAL VERA CRUZ LTDA;20.844.349/0001-17;RUA DO PRADO;559;58700-010;CENTRO;PATOS;PB;83 99627-0239;secretaira.veracruzpb@gmail.com
Dayse Pontes;020.673;020673;20673;INSTITUTO ESCOLAR EL SHADDAY;INSTITUTO ESCOLAR ELSHADDAY LTDA;44.255.132/0001-30;RUA SÃO SEBASTIÃO;S/N;58360-000;CENTRO;ITABAIANA;PB;83 3281-3846 / 3281-2798 / 3281-3846;financeiro@ieelshadday.com
Dayse Pontes;013.927;013927;13927;INSTITUTO EVANG PASTOR ANTONIO PETRONILO - CESE;CENTRO SOCIAL ELIASAFE;02.289.885/0001-16;R INGÁ;42;58302-355;MUNICÍPIOS;SANTA RITA;PB;83 3217-1453 / 3229-7697;tathyddeepaps@gmail.com
Dayse Pontes;009.358;009358;9358;INSTITUTO EVANGELICO HATIKVA;NATANAEL MUNIZ FALCAO FILHO  ME;01.660.138/0001-80;RUA MARIÂNGELA LUCENA PEIXOTO;68;58063-300;VALENTINA DE FIGUEIREDO;JOÃO PESSOA;PB;83 98873-2018;gerusacavalcanti1980@hotmail.com
Dayse Pontes;020.680;020680;20680;INSTITUTO JOÃO SIQUEIRA DE FIGUEIREDO;MARIA DO SOCORRO SOARES GOMES ME;40.957.888/0001-70;RUA PRESIDENTE JOÃO PESSOA;536;58970-000;CENTRO;CONCEIÇÃO;PB;83 9634-3993 / 99612-2225;institutojsf@hotmail.com
Dayse Pontes;010.282;010282;10282;INSTITUTO LIRIO DOS VALES;LUIZ ANTONIO DE ALMEIDA LIMITADA;05.490.638/0001-71;AVENIDA JOAQUIM CAROCA;415;58429-120;UNIVERSITÁRIO;CAMPINA GRANDE;PB;83 8726-7822 / 98850-1258;institutoliriodosvales@hotmail.com
Dayse Pontes;010.222;010222;10222;INSTITUTO MODERNO;INSTITUTO MODERNO;08.896.185/0001-76;RUA JOSE VIEIRA;S/N;58280-000;CENTRO;MAMANGUAPE;PB;83 98721-2482;secretaria@institutomoderno.com.br
Dayse Pontes;010.384;010384;10384;INSTITUTO O PEQUENO DOUTOR;WAGNER FRANKLIN FURTADO DA COSTA;03.326.045/0001-49;RUA GETULIO VARGAS;142;58175-000;CENTRO;CUITÉ;PB;83 99673-4950 / 9983-5100 / 99673-4950;pequenodoutor@gmail.com
Dayse Pontes;022.329;022329;22329;INSTITUTO PARAISO DA INFANCIA;JORIETE SILVA DOS SANTOS-ME;01.791.481/0001-63;RUA MARIA DAS NEVES;25;58396-000;CENTRO;ARARA;PB;83 8864-3531 / 98804-3531;jorietessantos@hotmail.com
Dayse Pontes;033.947;033947;33947;INSTITUTO PAULO FREIRE;ZAGMA RIBEIRO DA SILVA;00.673.829/0001-55;RUA HERMINEGILDO RIBEIRO GOMES;S/N;58200-000;SAO JOSE;GUARABIRA;PB;83 98660-0321 / 8660-0321;zagma.prof@gmail.com
Dayse Pontes;020.677;020677;20677;INSTITUTO ROBERTA FERNANDES;LUCIA MARIA DE SOUSA QUEIROGA-ME;35.425.990/0001-94;RUA PADRE AMANCIO LEITE;317;58840-000;CENTRO;POMBAL;PB;83 3431-2862 / 99958-9483;institutorobertafernandes@hotmail.com
Dayse Pontes;009.945;009945;9945;INSTITUTO SANTO ANTONIO;INSTITUTO SANTO ANTONIO LTDA;48.009.050/0001-66;RUA SANTO ANTÔNIO;749;58406-025;SANTO ANTÔNIO;CAMPINA GRANDE;PB;83 98698-7097;contato.colegioisa@gmail.com
Dayse Pontes;045.859;045859;45859;INSTITUTO VIRGEM DOS POBRE;GILVANDIRA SOUSA DA SILVA;01.621.665/0001-85;R LUIS FELIX DA SILVA;S/N;58375-000;CENTRO;MOGEIRO;PB;83 98125-3132;gilvandirasilva@hotmail.com
Dayse Pontes;045.806;045806;45806;INVICTUS COLEGIO E CURSO;INSTITUTO EDUCACIONAL INVICTUS LTDA;35.616.147/0001-95;RUA SOLON LOPES DE MENDONCA;176;58310-000;MONTE CASTELO;CABEDELO;PB;83 2178-7913 / 9679-5239;***
Dayse Pontes;035.455;035455;35455;MAE CORUJA BERCARIO E EDUCACAO INFANTIL;MAE CORUJA BERCARIO E EDUCACAO INFANTIL LTDA;26.315.710/0001-02;AVENIDA MARIA ROSA;82;58038-461;MANAÍRA;JOÃO PESSOA;PB;83 3024-1515 / 8732-6361;admmaecoruja@gmail.com
Dayse Pontes;012.361;012361;12361;NDI - COLÉGIO E CURSO;NDI COLEGIO E CURSO LTDA ME;10.642.408/0001-10;RUA TABELIÃO SEVERINO LUCAS DE LACERDA;535;58410-528;CATOLÉ;CAMPINA GRANDE;PB;83 3063-1547 / 3058-2088 / 99819-6076;colegiomdi@hotmail.com
Dayse Pontes;045.808;045808;45808;REITZEL CENTRO EDUCACIONAL;REITZEL CENTRO EDUCACIONAL LTDA;48.768.577/0001-74;AVENIDA SOUZA RANGEL;580;58070-070;VARJÃO;JOÃO PESSOA;PB;83 9444-4724;reitzelcentroeducacional@gmail.com
Dayse Pontes;032.812;032812;32812;SABER INSTITUTO EDUCACIONAL;RENATA OLIVEIRA FELIX;24.330.772/0001-50;RUA RADIALISTA NEWTON JÚNIOR;345;58065-120;PLANALTO BOA ESPERANÇA;JOÃO PESSOA;PB;83 99987-0294;saberinstitutoeducacional@hotmail.com
Dayse Pontes;020.554;020554;20554;SER ÉTICO COLEGIO E CURSO;VALBA ROSSANA DUARTE DO REGO FARIAS - ME;01.258.523/0001-03;RUA TRÊS IRMÃS;178;58417-300;SANTA CRUZ;CAMPINA GRANDE;PB;83 3335-9639;contatomeninojesus@gmail.com
Dayse Pontes;010.598;010598;10598;SISTEMA DE EDUC PROGRESSISTA BOM JESUS;FRANCISCA ALMEIDA DE SOUSA ME;05.416.048/0001-07;RUA JOÃO MARSICANO MARCÍLIO;708;58113-365;JARDIM AEROPORTO;BAYEUX;PB;83 3232-1684 / 98685-5443;seppb@hotmail.com.br
Dayse Pontes;017.888;017888;17888;SISTEMA DE ENSINO LÍDER;CENTRO DE EDUCACAO LIDER MAIS LTDA;11.479.222/0001-55;RUA LAURA QUIRINO NUNES DA SILVA;13;58059-326;MANGABEIRA;João Pessoa;PB;83 98810-2214;secretarialider02@gmail.com
Dayse Pontes;014.177;014177;14177;SISTEMA DINAMICO DE ENSINO - CANTINHO DO SABER;LUZIRENE FARIAS DE ALBUQUERQUE LUTTRING;41.147.463/0001-68;RUA JOSÉ LUIZ M. ALBUQUERQUE;273;58388-000;CENTRO;ALAGOA GRANDE;PB;83 3273-2674 / 99996-5977;sistemadinamico@bol.com.br
Dayse Pontes;028.776;028776;28776;SISTEMA EDUCACIONAL APRENDER;EDMAR DANTAS DE MORAIS - ME;15.129.921/0001-26;RUA FRANCISCO MANOEL DE ANDRADE (LOT A SUL);65;58075-426;ERNESTO GEISEL;JOÃO PESSOA;PB;83 8824-8379 / 98163-0223;sistemaeduaprender@gmail.com
Dayse Pontes;022.450;022450;22450;SOCIEDADE EDUCACIONAL NOVO HORIZONTE;SOCIEDADE EDUCACIONAL NOVO HORIZONTE LTDA;41.213.935/0001-33;RUA ANTONIO BORGES DA COSTA;150;58117-000;CENTRO;LAGOA SECA;PB;83 99965-1089;sociedadehorizonte1992@hotmail.com
Dayse Pontes;021.805;021805;21805;UNIDADE PEDAGÓGICA 16 DE JULHO;UNIDADE PEDAGOGICA 16 DE JULHO LTDA;16.707.347/0001-09;RUA ANTÔNIO BERNADINO DE SENA;176;58407-443;JOSÉ PINHEIRO;CAMPINA GRANDE;PB;83 98123-0308;unidadepedagogica16dejulho@gmail.com
Erysson Martins;010.375;010375;10375;ESCOLINHA INFANTIL PINOQUIO;MARIA DO DESTERRO FERREIRA DE LIMA;24.225.294/0001-18;PÇ MONSENHOR RUI BARREIRA VIEIRA;S/N;58397-000;CENTRO;AREIA;PB;83 8717-9041 / 99959-5420;mdfle2007@gmail.com
Helio Martins;019.928;019928;19928;AÇÃO COLÉGIO E CURSO;ACAO COLEGIO E CURSO LTDA;10.918.540/0001-02;RUA BENTO FREIRE;15;58800-138;CENTRO;SOUSA;PB;83 3522-1445 / 99111-4795;acaocolegioecurso@gmail.com
Helio Martins;047.186;047186;47186;ARCO - ÍRIS ESPAÇO MULTIDISCIPLINAR;SANDRA MORAIS MENDES;31.370.780/0001-95;AVENIDA RIO GRANDE DO NORTE;539;58030-350;ESTADOS;JOÃO PESSOA;PB;83 98620-1623;kalinaalencar@hotmail.com
Helio Martins;047.194;047194;47194;CENTRO EDUCACIONAL BETESDA;CENTRO EDUCACIONAL BETESDA LTDA;62.100.681/0001-17;RUA JOCA ATAÍDE;500;58200-000;BAIRRO NOVO;Guarabira;PB;83 99712-5612;colegiobetesdafundo2@gmail.com
Helio Martins;009.349;009349;9349;CENTRO EDUCACIONAL EBENEZER;JOSELIA FONSECA SANTOS DUARTE;01.057.159/0001-05;RUA ANA LEAL CORREIA;185;58056-190;MANGABEIRA;JOÃO PESSOA;PB;83 3238-6275 / 98854-6194;admjediael@hotmail.com
Helio Martins;036.625;036625;36625;CENTRO EDUCACIONAL ESPACO DO SABER - CEES;CENTRO EDUCACIONAL ESPACO DO SABER LTDA;19.207.518/0001-29;RUA ESTEVAM DINIZ;S/N;58884-000;CENTRO;CATOLÉ DO ROCHA;PB;83 9920-0077;centro_saber12@outlook.com
